Variable,Spec1_coef,Spec1_se,Spec2_coef,Spec2_se,Spec3_coef,Spec3_se,Spec4_coef,Spec4_se,Spec5_coef,Spec5_se
past_group,-1.133,0.082,-0.285,0.086,-1.276,0.085,-0.907,0.096,-0.887,0.098
TC_noborder,0.749,0.071,0.379,0.060,0.768,0.077,0.509,0.069,0.505,0.069
Poorest,2.007,0.085,0.869,0.090,1.601,0.091,0.194,0.098,0.212,0.102
Poorer,1.676,0.086,0.657,0.086,1.327,0.092,0.210,0.096,0.214,0.099
Middle,1.294,0.085,0.530,0.085,1.017,0.089,0.174,0.091,0.170,0.093
Richer,0.752,0.079,0.263,0.079,0.543,0.082,0.071,0.088,0.049,0.091
Respondent_work,-0.345,0.057,-0.024,0.056,-0.236,0.055,0.005,0.067,0.013,0.072
no_edu,,,3.178,0.134,,,2.585,0.144,2.399,0.153
primary_edu,,,3.239,0.139,,,2.727,0.146,2.525,0.152
secondary_edu,,,2.384,0.128,,,2.047,0.134,1.905,0.140
Res_age,,,-0.170,0.009,,,-0.446,0.012,-0.490,0.014
Husband_work,,,,,0.188,0.158,,,0.094,0.191
Husband_no_education,,,,,1.228,0.094,,,0.316,0.112
Husband_primary,,,,,1.197,0.082,,,0.369,0.106
Husband_secondary,,,,,0.849,0.074,,,0.268,0.089
Husband_age,,,,,0.038,0.004,,,0.060,0.006
Birth_order_number,,,,,,,1.453,0.032,1.424,0.032
Religion,,,,,,,0.036,0.126,0.045,0.129
Observations,37282,,37282,,36963,,37251,,36932,
Pseudo_R2,0.177,,0.245,,0.196,,0.425,,0.433,
