Variable,Spec1_mfx,Spec1_se,Spec2_mfx,Spec2_se,Spec3_mfx,Spec3_se,Spec4_mfx,Spec4_se,Spec5_mfx,Spec5_se
past_group,-0.200,0.014,-0.046,0.014,-0.219,0.014,-0.107,0.011,-0.103,0.011
TC_noborder,0.132,0.012,0.061,0.010,0.132,0.013,0.060,0.008,0.059,0.008
Poorest,0.354,0.014,0.140,0.014,0.275,0.015,0.023,0.012,0.025,0.012
Poorer,0.296,0.014,0.106,0.014,0.228,0.015,0.025,0.011,0.025,0.012
Middle,0.229,0.014,0.085,0.014,0.175,0.015,0.021,0.011,0.020,0.011
Richer,0.133,0.014,0.042,0.013,0.093,0.014,0.008,0.010,0.006,0.011
Respondent_work,-0.061,0.010,-0.004,0.009,-0.041,0.010,0.001,0.008,0.002,0.008
no_edu,,,0.512,0.021,,,0.306,0.017,0.279,0.018
primary_edu,,,0.522,0.022,,,0.322,0.017,0.294,0.018
secondary_edu,,,0.384,0.020,,,0.242,0.016,0.222,0.016
Res_age,,,-0.027,0.001,,,-0.053,0.001,-0.057,0.001
Husband_work,,,,,0.032,0.027,,,0.011,0.022
Husband_no_education,,,,,0.211,0.016,,,0.037,0.013
Husband_primary,,,,,0.206,0.014,,,0.043,0.012
Husband_secondary,,,,,0.146,0.012,,,0.031,0.010
Husband_age,,,,,0.007,0.001,,,0.007,0.001
Birth_order_number,,,,,,,0.172,0.002,0.166,0.002
Religion,,,,,,,0.004,0.015,0.005,0.015
Observations,37282,,37282,,36963,,37251,,36932,
Pseudo_R2,0.177,,0.245,,0.196,,0.425,,0.433,
