Variable,AgeGap_coef,AgeGap_se,HusbNoEdu_coef,HusbNoEdu_se,HusbPri_coef,HusbPri_se,HusbSec_coef,HusbSec_se,RespWork_coef,RespWork_se
past_group,-2.017,0.158,-0.011,0.010,-0.001,0.010,0.005,0.015,0.004,0.011
TC_noborder,0.646,0.150,0.021,0.008,-0.000,0.009,-0.011,0.011,0.016,0.008
Poorest,-0.619,0.196,0.161,0.011,,,,,,0.047,0.012
Resp_work,-0.359,0.123,0.009,0.007,,,,,,
No_education,1.255,0.186,0.317,0.011,,,,,,-0.249,0.014
Primary_edu,1.392,0.204,,,,,,,,,
Secondary_edu,1.236,0.138,,,,,,,,-0.221,0.012
Res_age,,,,,,,,,,0.004,0.001
Husb_no_edu,,,,,,,,,,-0.039,0.013
Birth_order,0.498,0.035,0.007,0.002,,,,,,-0.006,0.002
Religion,-0.078,0.226,-0.010,0.014,,,,,,-0.004,0.014
Observations,37779,,37779,,37779,,37779,,37779,
Adj_R2,0.075,,0.238,,0.115,,0.190,,0.133,
